COIN	COIN_ABR	DATE	OPEN	HIGH	LOW	CLOSE
bitcoin	BTC	2017-01-01	963.66	1003.08	958.7	998.33
ethereum	ETH	2017-01-01	7.98	8.47	7.98	8.17
litecoin	LTC	2017-01-01	4.33	4.52	4.33	4.51
ripple	XRP	2017-01-01	0.006523	0.006702	0.006334	0.006368
bitcoin	BTC	2017-01-02	998.62	1031.39	996.7	1021.75
ethereum	ETH	2017-01-02	8.17	8.44	8.05	8.38
litecoin	LTC	2017-01-02	4.52	4.74	4.48	4.65
ripple	XRP	2017-01-02	0.006386	0.006437	0.006281	0.006311
bitcoin	BTC	2017-01-03	1021.6	1044.08	1021.6	1043.84
ethereum	ETH	2017-01-03	8.37	10	8.32	9.73
litecoin	LTC	2017-01-03	4.66	4.73	4.56	4.63
ripple	XRP	2017-01-03	0.00629	0.006392	0.006278	0.006386
bitcoin	BTC	2017-01-04	1044.4	1159.42	1044.4	1154.73
ethereum	ETH	2017-01-04	9.71	11.28	9.56	11.25
litecoin	LTC	2017-01-04	4.63	4.84	4.63	4.84
ripple	XRP	2017-01-04	0.006385	0.006656	0.006385	0.00657
bitcoin	BTC	2017-01-05	1156.73	1191.1	910.42	1013.38
ethereum	ETH	2017-01-05	11.29	11.89	9.4	10.25
litecoin	LTC	2017-01-05	4.91	4.95	4.23	4.29
ripple	XRP	2017-01-05	0.006572	0.00658	0.006031	0.006201
bitcoin	BTC	2017-01-06	1014.24	1046.81	883.94	902.2
ethereum	ETH	2017-01-06	10.29	10.63	9.63	10.25
litecoin	LTC	2017-01-06	4.3	4.35	3.84	3.86
ripple	XRP	2017-01-06	0.006197	0.006394	0.006109	0.006315
bitcoin	BTC	2017-01-07	903.49	908.59	823.56	908.59
ethereum	ETH	2017-01-07	10.24	10.28	9.59	9.87
litecoin	LTC	2017-01-07	3.86	3.96	3.61	3.96
ripple	XRP	2017-01-07	0.006351	0.006404	0.006133	0.006366
bitcoin	BTC	2017-01-08	908.17	942.72	887.25	911.2
ethereum	ETH	2017-01-08	9.87	10.39	9.83	10.29
litecoin	LTC	2017-01-08	3.96	4.02	3.9	3.99
ripple	XRP	2017-01-08	0.006383	0.006383	0.006232	0.006233
bitcoin	BTC	2017-01-09	913.24	913.69	879.81	902.83
ethereum	ETH	2017-01-09	10.31	10.78	10.14	10.33
litecoin	LTC	2017-01-09	4	4.36	3.93	4.3
ripple	XRP	2017-01-09	0.006239	0.006294	0.006127	0.006167
bitcoin	BTC	2017-01-10	902.44	914.87	901.06	907.68
ethereum	ETH	2017-01-10	10.37	10.69	10.29	10.55
litecoin	LTC	2017-01-10	4.3	4.68	4.29	4.59
ripple	XRP	2017-01-10	0.006157	0.006815	0.006148	0.006698
bitcoin	BTC	2017-01-11	908.12	919.45	762.76	777.76
ethereum	ETH	2017-01-11	10.54	10.66	9.46	9.72
litecoin	LTC	2017-01-11	4.6	4.64	3.8	3.85
ripple	XRP	2017-01-11	0.006708	0.006721	0.006312	0.006411
bitcoin	BTC	2017-01-12	775.18	826.25	755.76	804.83
ethereum	ETH	2017-01-12	9.72	10.08	9.18	9.86
litecoin	LTC	2017-01-12	3.84	4.02	3.78	3.96
ripple	XRP	2017-01-12	0.006417	0.006851	0.006351	0.006423
bitcoin	BTC	2017-01-13	803.74	829	780	823.98
ethereum	ETH	2017-01-13	9.83	9.85	9.51	9.77
